A Bronx Tale: the Musical,11/3/16,11/3/16,
A Gentleman's Guide to Love and Murder,10/22/13,11/17/13,1/17/16
A View from the Bridge,10/1/15,2/12/15,2/21/16
Aladdin,2/26/14,3/20/14,
Allegiance,9/10/15,11/8/15,2/14/16
Alton Brown Live: Eat Your Science,11/7/16,11/22/16,11/27/16
American Psycho,3/10/16,3/24/16,6/5/16
An Act of God,5/28/16,6/6/16,9/4/16
An American in Paris,3/13/15,4/12/15,10/9/16
Beautiful: The Carole King Musical,11/21/13,1/12/14,
Blackbird,2/5/16,3/10/17,6/11/16
Bright Star,2/25/16,3/24/16,6/26/16
Cats,7/12/16,7/31/16,
Chicago,10/23/96,11/14/96,
China Doll,10/21/15,12/4/15,1/31/16
Cirque du Soleil: PARAMOUR,4/16/16,5/25/16,4/16/17
Dames At Sea,9/24/15,10/22/15,1/3/16
Dear Evan Hansen,11/14/16,12/4/16,
Disaster! The Musical,2/9/16,3/8/16,5/8/16
Eclipsed,2/23/16,3/6/16,6/19/16
Falsettos,9/29/16,10/27/16,1/8/17
Fiddler On The Roof,11/20/15,12/20/15,12/31/16
Finding Neverland,3/15/15,4/15/15,8/21/16
Frankie Valli and the Four Seasons,10/21/16,10/21/16,10/29/16
Fully Committed,1/1/16,4/25/16,7/31/16
Fun Home,3/27/15,4/19/15,9/10/16
Hamilton,7/13/15,8/6/15,
Hand to God,3/14/15,4/7/15,1/3/16
Heisenberg,9/20/16,10/13/16,12/11/16
Holiday Inn,9/1/16,10/6/16,1/15/17
Hughie,2/8/16,2/25/16,3/27/16
In Transit,11/10/16,12/11/16,
Jersey Boys,10/4/15,11/6/05,1/15/17
Jitney,12/28/16,1/19/17,3/12/17
King Charles III,10/10/15,11/1/15,1/31/16
Kinky Boots,3/3/13,4/4/13,
Kristin Chenoweth: My Love Letter to Broadway,11/2/16,11/2/16,11/13/16
Les Liaisons Dangereuses ,10/8/16,10/30/16,1/8/17
Les Miserables,3/1/14,3/23/04,9/4/16
Lewis Black: Black to the Future ,9/12/16,9/12/16,10/24/16
Long Day's Journey Into Night,4/3/16,4/27/16,6/26/16
Lord Of The Dance: Dangerous Games,10/10/15,10/10/15,1/3/16
Matilda The Musical,3/4/13,4/11/13,1/1/17
Misery,10/22/15,11/15/15,2/14/16
Motown:The Musical,7/12/16,7/12/16,7/31/16
"Natasha, Pierre and the Great Comet of 1812",10/18/16,11/14/16,
Noises Off,12/17/15,1/14/16,3/13/16
"Oh, Hello on Broadway",9/23/16,10/10/16,1/22/17
On Your Feet: The Story of Emilio & Gloria Estefan,10/5/15,11/5/15,
Our Mother's Brief Affair,12/28/15,1/20/15,3/6/16
School of Rock,11/9/15,12/6/15,
She Loves Me,2/19/16,3/17/16,7/10/16
Shuffle Along,3/15/16,4/28/16,7/24/16
Something Rotten!,3/23/15,4/22/15,1/1/17
Spring Awakening,9/8/15,9/27/15,1/24/16
Sylvia,10/2/15,10/27/15,1/3/16
The Book of Mormon,2/24/11,3/24/11,
The Cherry Orchard,9/15/16,10/16/16,12/4/16
The Color Purple,11/10/15,12/10/15,1/8/17
The Crucible,3/1/16,3/31/16,7/17/16
The Curious Incident of the Dog in the Night-Time,9/10/14,10/5/14,9/4/16
The Encounter,9/20/16,9/29/16,1/8/17
The Father,3/22/16,4/14/16,6/19/16
The Front Page,9/20/16,10/20/16,1/29/17
The Gin Game,9/23/15,10/14/15,1/10/16
The Humans,1/24/16,2/18/16,1/15/17
The Illusionists,11/25/16,11/25/16,1/1/17
The King and I,3/12/15,4/16/15,6/26/16
The Lion King,10/15/97,11/13/97,
The Phantom of the Opera,1/9/88,1/9/88,
The Present,12/17/16,1/8/17,3/19/17
Therese Raquin,10/1/15,10/29/15,1/3/16
Tuck Everlasting,3/31/16,4/26/16,5/29/16
Waitress,3/25/16,4/24/16,
Wicked,10/8/03,10/30/03,
