DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYPrecip
7/1/16 0:51,FM-15,CLR:00,10,,74,66,60,62,3,VRB,,0
7/1/16 1:51,FM-15,CLR:00,10,,73,64,56,55,0,0,,0
7/1/16 2:51,FM-15,CLR:00,10,,72,64,56,57,5,VRB,,0
7/1/16 3:51,FM-15,CLR:00,10,,71,63,57,61,3,VRB,,0
7/1/16 4:51,FM-15,CLR:00,9,,71,64,60,68,0,0,,0
7/1/16 5:51,FM-15,CLR:00,9,,73,67,63,71,0,0,,0
7/1/16 6:51,FM-15,OVC:08 60,8,,73,68,65,76,0,0,,0
7/1/16 7:51,FM-15,SCT:04 55,8,,75,69,66,74,6,170,,0
7/1/16 8:51,FM-15,SCT:04 21 BKN:07 50,8,,77,70,67,71,5,VRB,,0
7/1/16 9:51,FM-15,BKN:07 37 BKN:07 50,8,,77,70,67,71,7,VRB,,0
7/1/16 10:51,FM-15,SCT:04 20 BKN:07 25 OVC:08 49,8,,77,71,68,74,7,180,,0
7/1/16 11:36,FM-16,SCT:04 19,9,,78,71,68,71,6,VRB,,
7/1/16 11:51,FM-15,FEW:02 19,9,,78,71,68,71,7,160,,0
7/1/16 12:08,FM-16,BKN:07 19,9,,78,71,68,71,9,180,,
7/1/16 12:51,FM-15,BKN:07 17 OVC:08 22,8,,77,71,69,77,7,150,,0
7/1/16 13:21,FM-16,OVC:08 14,8,,77,71,69,77,6,VRB,,
7/1/16 13:51,FM-15,BKN:07 14,8,,78,72,70,76,,,,0
7/1/16 14:51,FM-15,BKN:07 11 OVC:08 75,4,-RA:02 |RA:61 |,75,71,70,84,,,,T
7/1/16 15:35,FM-16,SCT:04 11,7,,75,71,70,84,5,170,,T
7/1/16 15:51,FM-15,CLR:00,7,,74,71,70,88,,,,T
7/1/16 16:34,FM-16,FEW:02 43 BKN:07 90 OVC:08 110,1.75V,-RA:02 |RA:61 |,72,68,67,84,5,VRB,,0.01
7/1/16 16:49,FM-16,BKN:07 42 BKN:07 60 OVC:08 110,0.5,+RA:02 FG:2 |FG:30 RA:63 |,70,69,68,94,3,290,,
7/1/16 16:51,FM-15,FEW:02 26 BKN:07 40 OVC:08 60,0.25,+RA:02 FG:2 |FG:30 RA:63 |,70,68,67,90,8,300,,0.25
7/1/16 17:08,FM-16,FEW:02 26 BKN:07 39 OVC:08 85,2,-RA:02 BR:1 |RA:61 |,70,69,68,93,5,VRB,,0.2
7/1/16 17:14,FM-16,FEW:02 26 BKN:07 33 OVC:08 85,0.50V,+RA:02 FG:2 |FG:30 RA:63 |,70,69,68,93,3,VRB,,0.2
7/1/16 17:26,FM-16,SCT:04 31 BKN:07 60 OVC:08 100,2,-RA:02 BR:1 |RA:61 |,71,70,69,94,3,VRB,,0.31
7/1/16 17:34,FM-16,SCT:04 29 BKN:07 60 OVC:08 100,4,BR:1 ||,71,70,69,94,3,VRB,,0.31
7/1/16 17:51,FM-15,FEW:02 20 FEW:02 100 SCT:04 110,4,BR:1 ||,72,70,69,91,0,0,,0.14
7/1/16 18:51,FM-15,CLR:00,4,BR:1 ||,71,69,68,90,5,VRB,,0
7/1/16 19:51,FM-15,FEW:02 100,6,BR:1 ||,70,69,68,93,0,0,,T
7/1/16 20:32,FM-16,BKN:07 25,9,,70,67,66,87,10,VRB,16,
7/1/16 20:51,FM-15,OVC:08 25,7,,69,68,67,93,3,270,,0
7/1/16 21:09,FM-16,BKN:07 25 OVC:08 33,0.75,+RA:02 BR:1 |RA:63 |,68,67,66,93,0,0,,0.02
7/1/16 21:25,FM-16,SCT:04 24 BKN:07 31 OVC:08 95,2.5,-RA:02 BR:1 |RA:61 |,67,66,65,93,0,0,,0.44
7/1/16 21:29,FM-16,BKN:07 27 BKN:07 75 BKN:07 100,5,-RA:02 BR:1 |RA:61 |,67,66,65,93,0,0,,0.44
7/1/16 21:38,FM-16,SCT:04 26 SCT:04 95 BKN:07 110,9,,66,65,64,93,3,260,,0.44
7/1/16 21:51,FM-15,FEW:02 50 SCT:04 100,8,,67,66,65,93,3,VRB,,0.44
7/1/16 22:51,FM-15,CLR:00,4,BR:1 ||,67,66,65,93,0,0,,0
7/1/16 23:51,FM-15,CLR:00,5,BR:1 ||,69,68,67,93,0,0,,0
7/1/16 23:59,SOD,,,,,,,,,,,
7/2/16 0:41,FM-16,BKN:07 13 BKN:07 22,6,BR:1 ||,70,68,67,90,5,320,,
7/2/16 0:51,FM-15,BKN:07 13 BKN:07 20,5,BR:1 ||,69,68,67,93,3,VRB,,0
7/2/16 0:58,FM-16,SCT:04 12,5,BR:1 ||,69,68,67,93,0,0,,
7/2/16 1:51,FM-15,BKN:07 65,4,BR:1 ||,69,67,66,90,5,290,,0
7/2/16 2:51,FM-15,CLR:00,6,BR:1 ||,68,66,65,90,0,0,,0
7/2/16 3:51,FM-15,CLR:00,10,,65,61,59,81,6,VRB,,0
7/2/16 4:51,FM-15,CLR:00,9,,64,60,58,81,3,320,,0
