STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160101,0.00,0.0,0.0,-9999,42,34,7.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160102,0.00,0.0,0.0,-9999,40,32,6.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160103,0.00,0.0,0.0,-9999,45,35,7.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160104,0.00,0.0,0.0,-9999,36,14,8.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160105,0.00,0.0,0.0,-9999,29,11,5.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160106,0.00,0.0,0.0,-9999,41,25,3.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160107,0.00,0.0,0.0,-9999,46,31,2.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160108,0.00,0.0,0.0,-9999,46,31,4.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160109,0.00,0.0,0.0,-9999,47,40,8.1,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160110,1.80,0.0,0.0,-9999,59,40,9.8,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160111,0.00,0.0,0.0,-9999,40,26,10.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160112,0.00,0.0,0.0,-9999,44,25,6.0,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160113,0.00,0.0,0.0,-9999,30,22,9.8,-9999,-9999,-9999,-9999,-9999
